tree_id,block_id,spc_latin,spc_common,address1,address2,address3,address4,nta_name,latitude,longitude,x_sp,y_sp
121674,109802,Pyrus calleryana,Callery pear,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79685188,-73.9495983,998205.1223,229595.6094
121670,109802,Pyrus calleryana,Callery pear,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79706305,-73.94926814,998296.4919,229672.5988
121676,109802,Pyrus calleryana,Callery pear,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79675812,-73.94953598,998222.3969,229561.4602
121671,109802,Pyrus calleryana,Callery pear,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79706886,-73.94932977,998279.4247,229674.7051
148502,108986,Ginkgo biloba,ginkgo,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79718031,-73.94978629,998153.0024,229715.2381
121673,109802,Pyrus calleryana,Callery pear,3,CENTRAL,PARK,NORTH,Central Harlem South,40.7970521,-73.94944959,998246.2541,229668.5807
121672,109802,Pyrus calleryana,Callery pear,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79706493,-73.9493921,998262.1678,229673.2654
121675,109802,Pyrus calleryana,Callery pear,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79681121,-73.94955939,998215.9018,229580.7988
121677,109802,Ulmus americana,American elm,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79672473,-73.94949835,998232.8214,229549.3008
140813,111816,Ginkgo biloba,ginkgo,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79700902,-73.94981518,998145.0401,229652.8262
118983,109801,Styphnolobium japonicum,Sophora,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79715786,-73.9495533,998217.517,229707.0971
121619,111998,Ulmus americana,American elm,3,CENTRAL,PARK,NORTH,East Harlem South,40.79682978,-73.94970566,998175.4,229587.5392
118982,109801,Styphnolobium japonicum,Sophora,3,CENTRAL,PARK,NORTH,Central Harlem South,40.79719608,-73.94944166,998248.4182,229721.0383
121620,111998,Ulmus americana,American elm,3,CENTRAL,PARK,NORTH,East Harlem South,40.79670439,-73.94965071,998190.6398,229541.8651
140812,111816,Ginkgo biloba,ginkgo,7,CENTRAL,PARK,NORTH,Central Harlem South,40.79705022,-73.94991273,998118.0221,229667.8206
140810,111816,Ginkgo biloba,ginkgo,7,CENTRAL,PARK,NORTH,Central Harlem South,40.79711141,-73.95005763,998077.8887,229690.0938
140811,111816,Ginkgo biloba,ginkgo,7,CENTRAL,PARK,NORTH,Central Harlem South,40.79710541,-73.94997277,998101.385,229687.919
148504,108986,Ginkgo biloba,ginkgo,9,CENTRAL,PARK,NORTH,Central Harlem South,40.79733708,-73.95015633,998050.5157,229772.2971
140809,111816,Ginkgo biloba,ginkgo,9,CENTRAL,PARK,NORTH,Central Harlem South,40.7971678,-73.95012052,998060.4645,229710.6289
140808,111816,Ginkgo biloba,ginkgo,9,CENTRAL,PARK,NORTH,Central Harlem South,40.79717834,-73.95021611,998033.9951,229714.4537
148506,108986,Gleditsia triacanthos var. inermis,honeylocust,15,CENTRAL,PARK,NORTH,Central Harlem South,40.79740123,-73.95030775,998008.5771,229795.6461
148505,108986,Ginkgo biloba,ginkgo,15,CENTRAL,PARK,NORTH,Central Harlem South,40.79736969,-73.9502333,998029.1968,229784.1661
140806,111816,Ginkgo biloba,ginkgo,15,CENTRAL,PARK,NORTH,Central Harlem South,40.79724407,-73.95037175,997990.8885,229738.3769
140807,111816,Ginkgo biloba,ginkgo,15,CENTRAL,PARK,NORTH,Central Harlem South,40.79723527,-73.95028026,998016.2211,229735.183
148507,108986,Ginkgo biloba,ginkgo,21,CENTRAL,PARK,NORTH,Central Harlem South,40.79746539,-73.95045917,997966.6389,229818.9951
140804,111816,Ginkgo biloba,ginkgo,21,CENTRAL,PARK,NORTH,Central Harlem South,40.7973066,-73.95051982,997949.8804,229761.1353
140805,111816,Ginkgo biloba,ginkgo,21,CENTRAL,PARK,NORTH,Central Harlem South,40.79729606,-73.95042422,997976.3498,229757.3102
140803,111816,Ginkgo biloba,ginkgo,21,CENTRAL,PARK,NORTH,Central Harlem South,40.79735886,-73.95057292,997935.1668,229780.1661
140802,111816,Ginkgo biloba,ginkgo,21,CENTRAL,PARK,NORTH,Central Harlem South,40.79736846,-73.9506663,997909.3096,229783.6514
